entry_id,old_billing_sku,old_kms,new_billing_sku,new_kms
2317,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2318,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2321,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2323,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2324,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2329,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2330,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2334,ABC-Donmar-PNB-PNB,361.00,ABC-Donmar-DVO-DVO,340.00
2338,ABC-Donmar-PNB-PNB,361.00,ABC-Donmar-DVO-DVO,340.00
2340,ABC-Cateel-PNB-PNB,308.00,ABC-Cateel-DVO-PNB,362.00
2344,Sumifru-10-DVO-PNB,186.90,Sumifru-10-DVO-DVO,171.40
2348,"TDC - CLASS B-SVT-PNB-PNB",10.00,"TDC - CLASS B-SVT-DVO-DVO",76.00
2349,"TDC - CLASS B-SVT-PNB-PNB",10.00,"TDC - CLASS B-SVT-DVO-DVO",76.00
4460,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2355,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2357,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2360,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2362,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2364,"TDC - CLASS B-SVT-PNB-PNB",10.00,"TDC - CLASS B-SVT-DVO-DVO",76.00
2366,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2367,"TDC - CLASS B-SVT-PNB-PNB",10.00,"TDC - CLASS B-SVT-DVO-DVO",76.00
2369,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2372,"TDC - CLASS B-SVT-PNB-PNB",10.00,"TDC - CLASS B-SVT-DVO-DVO",76.00
2374,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2382,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2383,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2387,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
2388,Sumifru-6-PNB-PNB,171.40,Sumifru-6-DVO-DVO,171.40
2389,Farmind-3-PNB-PNB,107.00,Farmind-3-DVO-DVO,202.00
